1-30 d,1-30 రోజులు
Start the warranty and print the customer's certificate.,వారంటీ మొదలుపెట్టి కస్టమర్ సర్టిఫికెట్ ప్రింట్ చేయండి.
State,రాష్ట్రం
Static Water Level (ft),నీటి మట్టం (అడుగులు)
Stators,స్టేటర్లు
Stators Wound by Day,రోజువారీ వైండ్ చేసిన స్టేటర్లు
Status,స్థితి
Still Open,ఇంకా తెరిచి ఉన్నవి
Still to pay suppliers,సప్లయర్లకు ఇంకా చెల్లించాల్సినది
Stock Ageing,స్టాక్ వయస్సు
Stock Balance,స్టాక్ నిల్వ
Stock Entry,స్టాక్ ఎంట్రీ
Stock Item,స్టాక్ ఐటమ్
Stock Ledger,స్టాక్ లెడ్జర్
Stock Masters,స్టాక్ మాస్టర్లు
Stock Projected Qty,అంచనా స్టాక్ పరిమాణం
Stock Reconciliation,స్టాక్ సరిచూపు
Stock Reports,స్టాక్ రిపోర్టులు
Stock Transactions,స్టాక్ లావాదేవీలు
Stock vs Registration Reconciliation,స్టాక్ మరియు రిజిస్ట్రేషన్ సరిపోలిక
Sub-Dealer,సబ్-డీలర్
Submersible Pumps,సబ్‌మెర్సిబుల్ పంపులు
Suction Size (inch),సక్షన్ సైజు (అంగుళం)
Supplier,సప్లయర్
Suppliers,సప్లయర్లు
Supply,సప్లై
Supply Voltage (V),సప్లై వోల్టేజ్ (V)
Suspended,తాత్కాలికంగా నిలిపివేయబడింది
System Manager,సిస్టమ్ మేనేజర్
Tapping Temp (C),టాపింగ్ ఉష్ణోగ్రత (C)
Target Grade,లక్ష్య గ్రేడ్
Technician,టెక్నీషియన్
Technician Name,టెక్నీషియన్ పేరు
Technician Productivity,టెక్నీషియన్ ఉత్పాదకత
Technician Report,టెక్నీషియన్ నివేదిక
Technicians,టెక్నీషియన్లు
Telephonic,ఫోన్ ద్వారా
Tenali,తెనాలి
"Tenali - 522202, Guntur Dist., Andhra Pradesh","తెనాలి - 522202, గుంటూరు జిల్లా, ఆంధ్రప్రదేశ్"
Terminated,రద్దు చేయబడింది
Territory,ప్రాంతం
Test & Dispatch,టెస్ట్ & డిస్పాచ్
Test Bench,టెస్ట్ బెంచ్
Test Certificate,టెస్ట్ సర్టిఫికెట్
Test Date,టెస్ట్ తేదీ
Test Duty Point,టెస్ట్ డ్యూటీ పాయింట్
Test Pass Rate,టెస్ట్ పాస్ రేటు
Test Result,టెస్ట్ ఫలితం
Tested,టెస్ట్ చేయబడింది
Tested By,టెస్ట్ చేసినవారు
The day the END CUSTOMER got the pump - this starts the warranty.,చివరి కస్టమర్‌కు పంప్ అందిన రోజు - వారంటీ ఇక్కడి నుండే మొదలవుతుంది.
The dealer's invoice ({0}) is dated after the sale ({1}).,డీలర్ ఇన్‌వాయిస్ తేదీ ({0}) అమ్మకం తేదీ ({1}) తర్వాత ఉంది.
"The dealer's own invoice to the customer, on the dealer's letterhead and GSTIN. We never raise this - we only record it, because it is the customer's proof of purchase when a claim comes in.",డీలర్ తన లెటర్‌హెడ్ మరియు GSTIN మీద కస్టమర్‌కు ఇచ్చిన సొంత ఇన్‌వాయిస్. దీన్ని మనం జారీ చేయము - క్లెయిమ్ వచ్చినప్పుడు కస్టమర్ కొనుగోలుకు ఇదే రుజువు కాబట్టి నమోదు మాత్రమే చేస్తాం.
The last pumps you registered,మీరు చివరగా రిజిస్టర్ చేసిన పంపులు
The last pumps you registered. The certificate is what you owe the customer.,మీరు చివరగా రిజిస్టర్ చేసిన పంపులు. సర్టిఫికెట్ కస్టమర్‌కు మీరు ఇవ్వాల్సినది.
The login this dealer uses. Row-level access is derived from this.,ఈ డీలర్ వాడే లాగిన్. ఏ రికార్డులు కనిపిస్తాయో ఇదే నిర్ణయిస్తుంది.
Their warranty ends soon - a good moment to offer a service or a new pump,వారి వారంటీ త్వరలో ముగుస్తుంది - సర్వీస్ లేదా కొత్త పంప్ చెప్పడానికి ఇది మంచి సమయం
Thermoplastic,థర్మోప్లాస్టిక్
These elements are out of spec: {0}. A Quality Engineer must record an override reason to approve anyway.,ఈ మూలకాలు స్పెక్ దాటాయి: {0}. అయినా ఆమోదించాలంటే క్వాలిటీ ఇంజనీర్ ఒక కారణాన్ని నమోదు చేయాలి.
These units cannot be dispatched until their Pump Test Certificate passes:<ul>{0}</ul>,పంప్ టెస్ట్ సర్టిఫికెట్ పాస్ అయ్యేవరకు ఈ యూనిట్లను పంపడం కుదరదు:<ul>{0}</ul>
This Financial Year,ఈ ఆర్థిక సంవత్సరం
This Month,ఈ నెల
This Quarter,ఈ త్రైమాసికం
This entry produced {0} serialised unit(s) but consumed no traceable batches. Genealogy for these units will be incomplete.,ఈ ఎంట్రీ {0} సీరియల్ యూనిట్(ల)ను తయారు చేసింది కానీ ట్రేస్ చేయగల బ్యాచ్‌లు ఏవీ వాడలేదు. ఈ యూనిట్ల వంశవృక్షం అసంపూర్ణంగా ఉంటుంది.
This pump has not been registered yet. Ask your dealer to register the sale so your warranty starts.,ఈ పంప్ ఇంకా రిజిస్టర్ కాలేదు. వారంటీ మొదలవ్వాలంటే అమ్మకాన్ని రిజిస్టర్ చేయమని మీ డీలర్‌ను అడగండి.
"This table is not a brochure page - it is the live catalogue the factory raises work orders against. Change a model here and the warranty period, the test limits and the dealer's registration form all follow.","ఇది బ్రోచర్ పేజీ కాదు - ఫ్యాక్టరీ వర్క్ ఆర్డర్‌లు ఇచ్చే సజీవ కేటలాగ్ ఇది. ఇక్కడ ఒక మోడల్ మార్చితే వారంటీ కాలం, టెస్ట్ పరిమితులు, డీలర్ రిజిస్ట్రేషన్ ఫారం - అన్నీ దానితో పాటే మారుతాయి."
This unit has been tested in accordance with the referenced Bureau of Indian Standards specification before dispatch. Readings are recorded at the test bench under stated supply conditions.,"ఈ యూనిట్‌ను పంపే ముందు, పైన పేర్కొన్న బ్యూరో ఆఫ్ ఇండియన్ స్టాండర్డ్స్ ప్రమాణం ప్రకారం పరీక్షించారు. ఇక్కడి రీడింగ్‌లు తెలిపిన సప్లై పరిస్థితుల్లో టెస్ట్ బెంచ్ మీద నమోదు చేసినవి."
This unit's QC status is {0}. Check with the plant before selling it.,ఈ యూనిట్ QC స్థితి {0}. అమ్మే ముందు ప్లాంట్‌ను అడిగి నిర్ధారించుకోండి.
Three Phase,త్రీ ఫేజ్
Through Dealer - Dealer's Own Invoice,డీలర్ ద్వారా - డీలర్ సొంత ఇన్‌వాయిస్
Through Dealers,డీలర్ల ద్వారా
"Tick for a branch or showroom KUMAR owns: its sale to the end customer is a KUMAR invoice in our own books. Leave clear for an independent firm - it buys from us on our invoice, then raises its own invoice to the customer, which never enters our books.","KUMAR సొంత బ్రాంచ్ లేదా షోరూమ్ అయితే టిక్ చేయండి: దాని అమ్మకానికి మన పుస్తకాల్లోనే KUMAR ఇన్‌వాయిస్ ఉంటుంది. స్వతంత్ర సంస్థ అయితే ఖాళీగా వదిలేయండి - అది మన ఇన్‌వాయిస్ మీద మన నుండి కొని, కస్టమర్‌కు తన సొంత ఇన్‌వాయిస్ ఇస్తుంది; అది మన పుస్తకాల్లోకి రాదు."
Today's Visits,ఈ రోజు సందర్శనలు
Too many lookups from this address. Please wait a minute and try again.,ఈ చిరునామా నుండి చాలా ఎక్కువ ప్రయత్నాలు జరిగాయి. ఒక నిమిషం ఆగి మళ్ళీ ప్రయత్నించండి.
Top Customers,ముఖ్య కస్టమర్లు
Top Dealers,ముఖ్య డీలర్లు
Top Suppliers,ముఖ్య సప్లయర్లు
Top Ten This Period,ఈ కాలంలో టాప్ టెన్
Total Parts Value,మొత్తం పార్ట్‌ల విలువ
Trace Genealogy,వంశవృక్షాన్ని చూడు
Trace a Serial,ఒక సీరియల్‌ను ట్రేస్ చేయి
Traceability,ట్రేసబిలిటీ
Traceability (pulled from the serial),ట్రేసబిలిటీ (సీరియల్ నుండి తీసుకున్నది)
Traceability Gap,ట్రేసబిలిటీ లోటు
Tripping,ట్రిప్ అవుతోంది
Turns per Coil,కాయిల్‌కు చుట్లు
Type,రకం
Type any serial number and see its warranty status.,ఏ సీరియల్ నంబర్ అయినా టైప్ చేసి దాని వారంటీ స్థితి చూడండి.
UOM,కొలమానం
Under Warranty,వారంటీలో ఉంది
Units,యూనిట్లు
Units Built,తయారైన యూనిట్లు
Units Produced,తయారైన యూనిట్లు
Units Produced by Day,రోజువారీ తయారైన యూనిట్లు
Units Sold,అమ్ముడైన యూనిట్లు
Units Sold by Day,రోజువారీ అమ్ముడైన యూనిట్లు
Units delivered in this period,ఈ కాలంలో డెలివరీ అయిన యూనిట్లు
"Units per Day, by Channel",మార్గం వారీ రోజువారీ యూనిట్లు
Unknown model,మోడల్ తెలియదు
Unknown ticket type,టికెట్ రకం తెలియదు
Unregistered Stock,రిజిస్టర్ కాని స్టాక్
Used For,ఎందుకు వాడుతున్నారు
User,యూజర్
Valid From,చెల్లుబాటు ప్రారంభం
Valid Upto,చెల్లుబాటు ముగింపు
Value,విలువ
Value %,విలువ %
Varnish & Cure,వార్నిష్ & క్యూర్
Varnish Batch,వార్నిష్ బ్యాచ్
Varnishing & Curing,వార్నిషింగ్ & క్యూరింగ్
Vibration (mm/s),వైబ్రేషన్ (mm/s)
Vibration / Noise,వైబ్రేషన్ / శబ్దం
Village / Address,గ్రామం / చిరునామా
Visit Date,సందర్శన తేదీ
Visit Type,సందర్శన రకం
Void,చెల్లదు
Voltage Fluctuation,వోల్టేజ్ హెచ్చుతగ్గులు
Voltage Range,వోల్టేజ్ పరిధి
WARRANTY EXPIRED on {0} - this service is chargeable,{0} న వారంటీ ముగిసింది - ఈ సర్వీస్‌కు ఛార్జీ ఉంటుంది
Wage Bill by Department,విభాగం వారీ జీతాల బిల్లు
Wage bill {0},జీతాల బిల్లు {0}
Warehouse,వేర్‌హౌస్
Warranties ending soon,త్వరలో ముగుస్తున్న వారంటీలు
Warranty,వారంటీ
Warranty (Months),వారంటీ (నెలలు)
Warranty Approver,వారంటీ ఆమోదకుడు
Warranty Card No,వారంటీ కార్డు నంబర్
Warranty Certificate,వారంటీ సర్టిఫికెట్
Warranty Check,వారంటీ తనిఖీ
Warranty Claim,వారంటీ క్లెయిమ్
Warranty Claims,వారంటీ క్లెయిమ్‌లు
Warranty Cost,వారంటీ ఖర్చు
Warranty Cost Analysis,వారంటీ ఖర్చు విశ్లేషణ
Warranty Expiring (30d),వారంటీ ముగింపు (30 రోజులు)
Warranty Expiring 30d,30 రోజుల్లో ముగుస్తున్న వారంటీ
Warranty Expiring Soon,త్వరలో ముగియనున్న వారంటీ
Warranty Expiring in 30 Days,30 రోజుల్లో ముగుస్తున్న వారంటీ
Warranty Expiry,వారంటీ ముగింపు
Warranty Lookup,వారంటీ వివరాలు
Warranty Period,వారంటీ కాలం
Warranty Reminder Days,వారంటీ రిమైండర్ రోజులు
Warranty Replacement,వారంటీ రిప్లేస్‌మెంట్
Warranty Start,వారంటీ ప్రారంభం
Warranty Starts From,వారంటీ ఎప్పటి నుండి
Warranty Upto,వారంటీ ముగింపు
Warranty Valid Upto,వారంటీ చెల్లుబాటు ముగింపు
Warranty job - not chargeable,వారంటీ పని - ఛార్జీ లేదు
Warranty started,వారంటీ మొదలైంది
Warranty {0} months - valid upto {1},వారంటీ {0} నెలలు - {1} వరకు చెల్లుతుంది
Water Quality,నీటి నాణ్యత
We have no record of that serial. Check the number on the nameplate.,ఆ సీరియల్ నంబర్ మా రికార్డులో లేదు. నేమ్‌ప్లేట్ మీద ఉన్న నంబర్‌ను సరిచూడండి.
Wear & Tear,అరుగుదల
Welcome back,తిరిగి స్వాగతం
What They Are Used For,వాటిని ఎందుకు వాడుతున్నారు
What We Bought,మనం కొన్నవి
What You Sell,మీరు అమ్మేవి
What is the problem,ఏం సమస్య
What is wrong,ఏం తప్పు ఉంది
What the plant builds,ప్లాంట్ ఏం తయారు చేస్తుంది
"What the technician actually did, what parts went in, and what it cost.","టెక్నీషియన్ నిజంగా ఏం చేశారు, ఏ పార్ట్‌లు వేశారు, ఖర్చు ఎంత అయింది."
"What was dismantled, what was found, and why it is a manufacturing defect","ఏం విప్పి చూశారు, ఏం కనిపించింది, ఇది తయారీ లోపం ఎందుకు అవుతుంది"
WhatsApp Enabled,WhatsApp ఆన్
Where the Pumps Went,పంపులు ఎక్కడికి వెళ్ళాయి
Who Sold Them,ఎవరు అమ్మారు
Whose Invoice,ఎవరి ఇన్‌వాయిస్
Winding,వైండింగ్
Winding Batch,వైండింగ్ బ్యాచ్
Winding Batch No,వైండింగ్ బ్యాచ్ నంబర్
Winding Batch Record,వైండింగ్ బ్యాచ్ రికార్డు
Winding Date,వైండింగ్ తేదీ
Winding Rejects,వైండింగ్ తిరస్కరణలు
Winding Resistance (ohm),వైండింగ్ రెసిస్టెన్స్ (ohm)
Wire Gauge,తీగ గేజ్
Wire Gauge (SWG),తీగ గేజ్ (SWG)
With problems,సమస్యలు ఉన్నవి
Within Spec,స్పెక్ లోపల
Work Done,చేసిన పని
Work Order,వర్క్ ఆర్డర్
Work Order Status,వర్క్ ఆర్డర్ స్థితి
Work Order Summary,వర్క్ ఆర్డర్ సారాంశం
Work Orders,వర్క్ ఆర్డర్‌లు
Workshop,వర్క్‌షాప్
Workstation,వర్క్‌స్టేషన్
Yes,అవును
You Owe KUMAR,మీరు KUMAR కు చెల్లించాల్సినది
You have not registered a pump yet. Use the blue button above.,మీరు ఇంకా ఏ పంప్‌ను రిజిస్టర్ చేయలేదు. పైన ఉన్న నీలం బటన్ వాడండి.
Your Invoice Date,మీ ఇన్‌వాయిస్ తేదీ
Your Invoice No,మీ ఇన్‌వాయిస్ నంబర్
Your Outlet,మీ అవుట్‌లెట్
Your branch office,మీ బ్రాంచ్ ఆఫీసు
"Your branch office, the service centre and head office.","మీ బ్రాంచ్ ఆఫీసు, సర్వీస్ సెంటర్ మరియు ప్రధాన కార్యాలయం."
Your login is not linked to a dealer record. Ask the branch office to set Portal User on your Dealer.,మీ లాగిన్ ఏ డీలర్ రికార్డుతోనూ అనుసంధానం కాలేదు. మీ డీలర్ రికార్డులో పోర్టల్ యూజర్ పెట్టమని బ్రాంచ్ ఆఫీసును అడగండి.
Your own branch office handles you. Head office is for anything they cannot settle.,మీ సొంత బ్రాంచ్ ఆఫీసే మీ పని చూస్తుంది. వారు పరిష్కరించలేని విషయాలకు ప్రధాన కార్యాలయం.
"Your own sales by product family, all time.",ఉత్పత్తి కుటుంబం వారీగా మీ మొత్తం అమ్మకాలు.
Your recent sales,మీ ఇటీవలి అమ్మకాలు
against {0} in the 30 days before that,అంతకు ముందు 30 రోజుల్లో {0} తో పోలిస్తే
catalogue models,కేటలాగ్ మోడల్‌లు
days,రోజులు
days left,రోజులు మిగిలాయి
"e.g. IS 8034, IS 9079, IS 7538","ఉదా. IS 8034, IS 9079, IS 7538"
"e.g. No water since two days, motor runs but nothing comes up","ఉదా. రెండు రోజుల నుండి నీరు రావడం లేదు, మోటార్ తిరుగుతోంది కానీ నీరు ఎక్కడం లేదు"
e.g. bearing seized,ఉదా. బేరింగ్ జామ్ అయింది
ends {0},{0} న ముగుస్తుంది
from the date you sell it,మీరు అమ్మిన తేదీ నుండి
group,గ్రూప్
months,నెలలు
never,ఎప్పుడూ లేదు
never sold,ఎప్పుడూ అమ్మలేదు
new,కొత్తది
of {0} selling outlets,అమ్ముతున్న {0} అవుట్‌లెట్లలో
on the 30 days before that,అంతకు ముందు 30 రోజుల్లో
product families,ఉత్పత్తి కుటుంబాలు
pumps under warranty now,ఇప్పుడు వారంటీలో ఉన్న పంపులు
states served,రాష్ట్రాలలో సేవలు
vs Prev,గత కాలంతో పోలిక
vs {0} before,గతంలో {0} తో పోలిస్తే
warranty to {0},వారంటీ {0} వరకు
years of manufacturing,సంవత్సరాల తయారీ అనుభవం
{0} - {1} at {2},"{0} - {1}, {2} వద్ద"
{0} KUMAR branches &middot; {1},{0} KUMAR బ్రాంచీలు &middot; {1}
{0} a day on average,రోజుకు సగటున {0}
"{0} completed, {1} on the floor","{0} పూర్తయ్యాయి, {1} ఇంకా జరుగుతున్నాయి"
{0} days left,{0} రోజులు మిగిలాయి
{0} days marked,{0} రోజులు నమోదు చేయబడ్డాయి
{0} fewer than the period before ({1}),గత కాలం కంటే {0} తక్కువ ({1})
{0} independent firms &middot; {1},{0} స్వతంత్ర సంస్థలు &middot; {1}
{0} invoices,{0} ఇన్‌వాయిస్‌లు
"{0} is a KUMAR outlet, so the KUMAR invoice number is required","{0} ఒక KUMAR అవుట్‌లెట్, కాబట్టి KUMAR ఇన్‌వాయిస్ నంబర్ తప్పనిసరి"
"{0} is a KUMAR outlet, so this sale needs the KUMAR invoice behind it, and none was found for serial {1}. Raise the invoice first.","{0} ఒక KUMAR అవుట్‌లెట్, కాబట్టి ఈ అమ్మకానికి KUMAR ఇన్‌వాయిస్ ఉండాలి, కానీ {1} సీరియల్‌కు అది కనిపించలేదు. ముందు ఇన్‌వాయిస్ జారీ చేయండి."
{0} is already the portal user for dealer {1},{0} ఇప్పటికే {1} డీలర్‌కు పోర్టల్ యూజర్‌గా ఉన్నారు
"{0} is an independent dealer, so the customer holds the DEALER's invoice, not ours. Enter its number.","{0} స్వతంత్ర డీలర్, కాబట్టి కస్టమర్ దగ్గర డీలర్ ఇన్‌వాయిస్ ఉంటుంది, మనది కాదు. దాని నంబర్ ఇవ్వండి."
"{0} is independent, so the dealer's own invoice number is required","{0} స్వతంత్రం, కాబట్టి డీలర్ సొంత ఇన్‌వాయిస్ నంబర్ తప్పనిసరి"
"{0} is not registered yet. Register the sale first, then a complaint can be raised against it.","{0} ఇంకా రిజిస్టర్ కాలేదు. ముందు అమ్మకాన్ని రిజిస్టర్ చేయండి, ఆ తర్వాత దాని మీద ఫిర్యాదు చేయవచ్చు."
{0} is required,{0} తప్పనిసరి
{0} kg charged,{0} కేజీలు ఛార్జ్ చేయబడ్డాయి
{0} more than the period before ({1}),గత కాలం కంటే {0} ఎక్కువ ({1})
{0} must be 10 digits starting with 6-9,{0} 6-9 తో మొదలై 10 అంకెలు ఉండాలి
{0} on approved leave,{0} ఆమోదిత సెలవులో
"{0} orders, {1} deliveries, {2} invoices in this period","ఈ కాలంలో {0} ఆర్డర్‌లు, {1} డెలివరీలు, {2} ఇన్‌వాయిస్‌లు"
{0} production runs,{0} ఉత్పత్తి రన్‌లు
{0} pump(s) registered and warranty started: {1},"{0} పంప్(లు) రిజిస్టర్ అయ్యాయి, వారంటీ మొదలైంది: {1}"
{0} raised in this period,ఈ కాలంలో {0} వచ్చాయి
{0} raised this period,ఈ కాలంలో {0} వచ్చాయి
{0} rows queued. They are being written in the background - reload this page in a few minutes and run the reconciliation report.,{0} వరుసలు క్యూలో ఉన్నాయి. అవి బ్యాక్‌గ్రౌండ్‌లో సేవ్ అవుతున్నాయి - కొన్ని నిమిషాల తర్వాత ఈ పేజీని రిఫ్రెష్ చేసి సరిపోలిక రిపోర్టును చూడండి.
{0} salary slips,{0} జీతం స్లిప్‌లు
{0} so far in {1},{1} లో ఇప్పటివరకు {0}
{0} sold nothing - worth a call,{0} ఏమీ అమ్మలేదు - ఒకసారి ఫోన్ చేయడం మంచిది
"{0} sold this directly, so the customer holds a KUMAR invoice. Link it.","{0} దీన్ని నేరుగా అమ్మారు, కాబట్టి కస్టమర్ దగ్గర KUMAR ఇన్‌వాయిస్ ఉంటుంది. దాన్ని లింక్ చేయండి."
{0} stators wound,{0} స్టేటర్లు వైండ్ చేయబడ్డాయి
"{0} units built, {1} registered, {2} with complaints.","{0} యూనిట్లు తయారయ్యాయి, {1} రిజిస్టర్ అయ్యాయి, {2} మీద ఫిర్యాదులు వచ్చాయి."
{0} units tested,{0} యూనిట్లు టెస్ట్ చేయబడ్డాయి
"{0} was not sold by your outlet, so you cannot raise a request against it.","{0} మీ అవుట్‌లెట్ అమ్మలేదు, కాబట్టి దాని మీద మీరు రిక్వెస్ట్ పెట్టలేరు."
{0}d ago,{0} రోజుల క్రితం
